Long,Lat,N. of parkings,Day of the month,Day of the week,Hour
7.641500000000001,45.088499999999996,41,6,1,20
7.727,45.0255,7,6,1,20
7.727,45.088499999999996,24,6,1,20
7.641500000000001,45.0255,21,6,1,21
7.641500000000001,45.088499999999996,30,6,1,21
7.727,45.0255,1,6,1,21
7.727,45.088499999999996,17,6,1,21
7.641500000000001,45.0255,18,6,1,22
7.641500000000001,45.088499999999996,16,6,1,22
7.727,45.0255,1,6,1,22
7.727,45.088499999999996,11,6,1,22
7.641500000000001,45.0255,4,6,1,23
7.641500000000001,45.088499999999996,6,6,1,23
7.727,45.0255,1,6,1,23
7.727,45.088499999999996,6,6,1,23
7.641500000000001,45.0255,1,7,2,0
7.641500000000001,45.088499999999996,2,7,2,0
7.727,45.0255,1,7,2,0
7.727,45.088499999999996,1,7,2,0
7.641500000000001,45.0255,3,7,2,1
7.641500000000001,45.088499999999996,3,7,2,1
7.727,45.0255,1,7,2,1
7.641500000000001,45.0255,1,7,2,2
7.641500000000001,45.088499999999996,2,7,2,2
7.727,45.0255,1,7,2,2
7.727,45.088499999999996,1,7,2,2
7.641500000000001,45.0255,6,7,2,3
7.641500000000001,45.088499999999996,12,7,2,3
7.727,45.0255,1,7,2,3
7.727,45.088499999999996,4,7,2,3
7.641500000000001,45.0255,11,7,2,4
7.641500000000001,45.088499999999996,18,7,2,4
7.727,45.0255,1,7,2,4
7.727,45.088499999999996,5,7,2,4
7.641500000000001,45.0255,62,7,2,5
7.641500000000001,45.088499999999996,71,7,2,5
7.727,45.0255,13,7,2,5
7.727,45.088499999999996,47,7,2,5
7.641500000000001,45.0255,115,7,2,6
7.641500000000001,45.088499999999996,125,7,2,6
7.727,45.0255,21,7,2,6
7.727,45.088499999999996,86,7,2,6
7.641500000000001,45.0255,73,7,2,7
7.641500000000001,45.088499999999996,104,7,2,7
7.727,45.0255,18,7,2,7
7.727,45.088499999999996,62,7,2,7
7.641500000000001,45.0255,80,7,2,8
7.641500000000001,45.088499999999996,109,7,2,8
7.727,45.0255,18,7,2,8
7.727,45.088499999999996,55,7,2,8
7.641500000000001,45.0255,80,7,2,9
7.641500000000001,45.088499999999996,116,7,2,9
7.727,45.0255,10,7,2,9
7.727,45.088499999999996,56,7,2,9
7.641500000000001,45.0255,86,7,2,10
7.641500000000001,45.088499999999996,96,7,2,10
7.727,45.0255,19,7,2,10
7.727,45.088499999999996,47,7,2,10
7.641500000000001,45.0255,63,7,2,11
7.641500000000001,45.088499999999996,86,7,2,11
7.727,45.0255,13,7,2,11
7.727,45.088499999999996,62,7,2,11
7.641500000000001,45.0255,53,7,2,12
7.641500000000001,45.088499999999996,74,7,2,12
7.727,45.0255,12,7,2,12
7.727,45.088499999999996,44,7,2,12
7.641500000000001,45.0255,102,7,2,13
7.641500000000001,45.088499999999996,116,7,2,13
7.727,45.0255,23,7,2,13
7.727,45.088499999999996,61,7,2,13
7.641500000000001,45.0255,110,7,2,14
7.641500000000001,45.088499999999996,164,7,2,14
7.727,45.0255,19,7,2,14
7.727,45.088499999999996,96,7,2,14
7.641500000000001,45.0255,130,7,2,15
7.641500000000001,45.088499999999996,182,7,2,15
7.727,45.0255,15,7,2,15
7.727,45.088499999999996,89,7,2,15
7.641500000000001,45.0255,147,7,2,16
7.641500000000001,45.088499999999996,196,7,2,16
7.727,45.0255,18,7,2,16
7.727,45.088499999999996,115,7,2,16
7.641500000000001,45.0255,121,7,2,17
7.641500000000001,45.088499999999996,146,7,2,17
7.727,45.0255,14,7,2,17
7.727,45.088499999999996,82,7,2,17
7.641500000000001,45.0255,64,7,2,18
7.641500000000001,45.088499999999996,70,7,2,18
7.727,45.0255,11,7,2,18
7.727,45.088499999999996,45,7,2,18
7.641500000000001,45.0255,38,7,2,19
7.641500000000001,45.088499999999996,44,7,2,19
7.727,45.0255,2,7,2,19
7.727,45.088499999999996,26,7,2,19
7.641500000000001,45.0255,30,7,2,20
7.641500000000001,45.088499999999996,38,7,2,20
7.727,45.0255,10,7,2,20
7.727,45.088499999999996,27,7,2,20
7.641500000000001,45.0255,29,7,2,21
7.641500000000001,45.088499999999996,31,7,2,21
7.727,45.0255,3,7,2,21
7.727,45.088499999999996,19,7,2,21
7.641500000000001,45.0255,12,7,2,22
7.641500000000001,45.088499999999996,24,7,2,22
7.727,45.0255,4,7,2,22
7.727,45.088499999999996,16,7,2,22
7.641500000000001,45.0255,6,7,2,23
7.641500000000001,45.088499999999996,5,7,2,23
7.727,45.088499999999996,5,7,2,23
7.641500000000001,45.0255,4,8,3,0
7.641500000000001,45.088499999999996,6,8,3,0
7.727,45.0255,1,8,3,0
7.727,45.088499999999996,3,8,3,0
7.641500000000001,45.0255,4,8,3,1
7.641500000000001,45.088499999999996,1,8,3,1
7.727,45.088499999999996,2,8,3,1
7.641500000000001,45.0255,3,8,3,2
7.641500000000001,45.088499999999996,1,8,3,2
7.727,45.0255,1,8,3,2
7.727,45.088499999999996,2,8,3,2
7.641500000000001,45.0255,4,8,3,3
7.641500000000001,45.088499999999996,4,8,3,3
7.727,45.0255,1,8,3,3
7.727,45.088499999999996,5,8,3,3
7.641500000000001,45.0255,12,8,3,4
7.641500000000001,45.088499999999996,17,8,3,4
7.727,45.0255,3,8,3,4
7.727,45.088499999999996,7,8,3,4
7.641500000000001,45.0255,56,8,3,5
7.641500000000001,45.088499999999996,85,8,3,5
7.727,45.0255,18,8,3,5
