lng,lat,pippo
7.651612,45.024254,1080
7.65225,45.023796,2338
7.652424,45.029919,23151
7.650577,45.030052,99
7.65318,45.031395,3774
7.653091,45.030128,8091
7.653241,45.031693,140
7.652781,45.031593,4454
7.652276,45.031586,22711
7.65211,45.03138,803
7.652511,45.031334,9087
7.651628,45.030231,736
7.651069,45.030457,94
7.652057,45.029995,876
7.650488,45.030155,98
7.65243,45.029587,8664
7.650805,45.033993,784
7.653328,45.033783,988
7.650697,45.032043,28859
7.652009,45.033878,228
7.65324,45.033409,5440
7.652293,45.034111,384
7.650625,45.033932,1230
7.650496,45.034336,5579
7.651675,45.03397,328
7.652925,45.032654,760
7.652404,45.034153,193
7.652285,45.034225,937
7.651551,45.033791,263
7.653334,45.053238,875
7.652592,45.054039,19498
7.653128,45.053741,8612
7.652436,45.054104,248
7.652308,45.054142,752
7.651659,45.053303,1705
7.652223,45.054192,69
7.651262,45.05434,5020
7.653342,45.052647,1867
7.651347,45.053867,4212
7.652001,45.054085,11473
7.652689,45.052643,842
7.653253,45.052814,1050
7.650592,45.05402,9414
7.651742,45.053314,185
7.652273,45.053848,2614
7.651966,45.052498,133
7.651103,45.054337,11423
7.651388,45.054317,794
7.651631,45.055038,803
7.653234,45.056351,155
7.650305,45.057163,2414
7.650667,45.054813,2272
7.651196,45.055119,693
7.650774,45.056896,168
7.651512,45.054844,819
7.651504,45.056347,154
7.653224,45.056168,812
7.651111,45.055161,227
7.652676,45.055637,677
7.65255,45.055088,694
7.651728,45.055397,1350
7.652609,45.061783,194
7.65047,45.062164,7177
7.652483,45.062252,1073
7.653539,45.060856,77
7.651287,45.060078,787
7.653316,45.059887,983
7.652612,45.062126,796
7.652432,45.062176,2168
7.652194,45.061947,160
7.650774,45.062199,6728
7.650419,45.060398,4766
7.653648,45.067486,1168
7.652037,45.067539,736
7.652375,45.069809,6836
7.653589,45.067577,960
7.651004,45.068119,4364
7.652963,45.069466,734
7.653084,45.068672,2668
7.65336,45.067921,12416
7.652984,45.068233,1338
7.65147,45.0686,724
7.653387,45.067394,2270
7.650507,45.067993,1037
7.650388,45.069401,27163
7.652605,45.073288,128
7.65279,45.072483,8065
7.653272,45.074562,5375
7.65274,45.072987,707
7.651635,45.074245,1242
7.650809,45.073673,772
7.651945,45.072388,1455
7.651083,45.074894,14315
7.650683,45.072712,1250
7.651608,45.072472,2945
7.650408,45.074799,1080
7.650476,45.072693,175
7.652234,45.075867,1284
7.653675,45.077126,753
7.651262,45.076916,1094
7.652101,45.076672,7805
7.652403,45.07655,761
7.65265,45.075863,1124
7.653454,45.075512,1063
7.652056,45.075817,8018
7.651967,45.076595,22034
7.651599,45.075912,724
7.653467,45.075321,2530
7.652483,45.076504,1679
7.652341,45.079494,154
7.651779,45.077507,9697
7.653327,45.07795,776
7.651747,45.078598,817
7.650589,45.077862,3907
7.653327,45.078636,1394
7.65204,45.078762,105
7.651765,45.078018,7328
7.652433,45.077774,11495
7.65344,45.079605,96
7.653461,45.079594,96
7.651024,45.078773,938
7.653483,45.07859,8033
7.652158,45.083477,776
7.652362,45.08268,28641
7.651885,45.08363,601
7.650813,45.08477,844
7.651173,45.083912,907
7.652005,45.082607,2340
7.651717,45.084129,10570
7.650487,45.083622,9937
7.650888,45.084263,697
7.651025,45.084026,349
7.653288,45.083412,660
7.653453,45.082577,30108
7.651142,45.084644,572
7.652221,45.097488,701
7.652828,45.09586,2802
7.653513,45.096825,741
7.651122,45.095741,771
7.653563,45.095566,11309
7.653705,45.096722,6496
7.651442,45.096054,833
7.652234,45.095875,980
7.652377,45.096405,856
7.651172,45.095993,743
7.651549,45.096748,6916
7.653754,45.000717,64
7.654197,44.999546,96
7.654374,45.001633,2105
7.656175,45.000969,345
7.655125,44.99926,1192
7.654717,45.000248,805
7.654359,45.00053,756
7.654383,45.000347,763
7.65382,44.999962,2652
7.654375,45.001011,1108
7.656122,45.000015,6840
7.656613,45.001511,1477
7.656899,45.015041,859
7.655499,45.014839,563
7.656631,45.015701,903
7.656638,45.016869,1371
7.653973,45.016117,91
7.656893,45.014435,756
7.655057,45.016689,775
7.656863,45.014977,14300
7.655821,45.015362,644
7.653783,45.015453,5275
7.65546,45.014526,916
7.654586,45.037395,3048
7.653837,45.039268,74
7.654917,45.037521,2136
7.654265,45.038105,7373
7.656054,45.038242,3114
7.655661,45.038269,2597
7.654408,45.03952,1157
7.657063,45.037151,617
7.65372,45.039162,274
7.655961,45.037537,355
7.655863,45.039249,641
7.655883,45.038055,6273
7.65689,45.038673,128
7.653978,45.040657,598
7.655941,45.041588,259
7.655984,45.041042,2237
7.654262,45.040508,417
7.654245,45.039848,236
7.656083,45.040771,654
7.655145,45.040283,9287
7.656315,45.039745,1240
7.653735,45.039604,281
7.654636,45.039948,281
7.653887,45.041248,282
7.653763,45.040344,238
7.655195,45.040844,337
7.654653,45.039734,852
7.656267,45.040314,952
7.655798,45.040028,193
7.654088,45.052956,5778
7.655997,45.054356,3816
